x_values,long_wave,short_wave,total,surface,planck
288.86748145,1.16714456884299e-32,0.007854156374062353,0.007854156374062353,0.007854156374062353,1.0170308442008651e-32
295.24331470000004,8.937130064590942e-32,0.0031397345113235568,0.0031397345113235568,0.0031397345113235568,7.837602194961097e-32
301.75988375,6.5421365595241835e-31,0.003949923332426917,0.003949923332426917,0.003949923332426917,5.765780603537275e-31
308.4202607,4.562236097922171e-30,0.005462722572991209,0.005462722572991209,0.005462722572991209,4.053126106158421e-30
315.22765705,3.045524153074065e-29,0.007374154965588915,0.007374154965588915,0.007374154965588915,2.725274796270836e-29
322.18527635000004,1.9503876548892534e-28,0.00935254998756147,0.00935254998756147,0.00935254998756147,1.754409046120646e-28
329.2964738,1.1959092419199323e-27,0.012208718963101405,0.012208718963101405,0.012208718963101405,1.0823420083794942e-27
336.56463935,7.041713561684691e-27,0.015365592860226969,0.015365592860226969,0.015365592860226969,6.404871302536799e-27
343.9932139,3.974628638719023e-26,0.020307830475421337,0.020307830475421337,0.020307830475421337,3.6387874482038574e-26
351.5857832,2.1582107153151197e-25,0.02588616960658438,0.02588616960658438,0.02588616960658438,1.9865064824834404e-25
359.3459179,1.1273149100361142e-24,0.032747161104755014,0.032747161104755014,0.032747161104755014,1.0429883373768681e-24
367.27734365,5.651458309323988e-24,0.04516582680945622,0.04516582680945622,0.04516582680945622,5.2710056647072086e-24
375.38382105000005,2.729882030851987e-23,0.061331885933412475,0.061331885933412475,0.061331885933412475,2.5661868616402212e-23
383.66920945,1.275573683070168e-22,0.07591350320951709,0.07591350320951709,0.07591350320951709,1.2045194512827447e-22
392.1374672,5.734204374449248e-22,0.1009389618686863,0.1009389618686863,0.1009389618686863,5.455236930424213e-22
400.79265825,2.4973875850959488e-21,0.12322875703859132,0.12322875703859132,0.12322875703859132,2.3857503085139165e-21
409.6388663,1.0512576088188338e-20,0.1494416547922451,0.1494416547922451,0.1494416547922451,1.0082607212280876e-20
418.6803654,4.280325729144503e-20,0.1800531251483345,0.1800531251483345,0.1800531251483345,4.120805601541009e-20
427.92143964999997,1.6868622264751115e-19,0.21555580931306242,0.21555580931306242,0.21555580931306242,1.629914742681784e-19
437.3663882,6.439227238400111e-19,0.25645313756953375,0.25645313756953375,0.25645313756953375,6.24341058081543e-19
447.0197879,2.382479462007996e-18,0.30325252056735663,0.30325252056735663,0.30325252056735663,2.3177086111611967e-18
456.8863358,8.55005951538476e-18,0.3564569502118167,0.3564569502118167,0.3564569502118167,8.34401752343201e-18
466.97062435,2.977988159818939e-17,0.4165537893906364,0.4165537893906365,0.4165537893906364,2.915092643816069e-17
477.27745730000004,1.0073678302270047e-16,0.48400651342996154,0.48400651342996165,0.4840065134299616,9.889445131326269e-17
487.81184460000003,3.3115028991973697e-16,0.5592445560669194,0.5592445560669197,0.5592445560669197,3.2599749693229894e-16
498.57880300000005,1.0585428068384752e-15,0.642650837550003,0.6426508375500041,0.642650837550004,1.0448363618033008e-15
509.58344095,3.2922781333509642e-15,0.7345517278919056,0.7345517278919089,0.7345517278919088,3.257888920656883e-15
520.8308335999999,9.968533135122075e-15,0.8352049208473051,0.8352049208473151,0.835204920847315,9.888466307945766e-15
532.3264123,2.940219358477145e-14,0.9447932426568322,0.9447932426568616,0.9447932426568616,2.923360061110068e-14
544.0758635,8.426333905011877e-14,1.14355245611594,1.1435524561160242,1.1435524561160242,8.422705671756376e-14
556.0846971,2.3476295907297264e-13,1.459569121108199,1.4595691211084336,1.4595691211084336,2.366325453040688e-13
568.3585126,6.315168975405412e-13,2.1549807401251413,2.154980740125773,2.154980740125773,6.486086061023411e-13
580.9031436,1.6213390589560407e-12,3.728926821729602,3.7289268217312235,3.728926821731223,1.7354314006711353e-12
593.72469935,4.010470472984895e-12,6.021653950673567,6.021653950677577,6.021653950677577,4.535023813787461e-12
606.8292049,9.836489455821766e-12,8.070006071510084,8.07000607151992,8.07000607151992,1.158024374013323e-11
620.2229768000001,2.3942325202561428e-11,9.778670687093106,9.778670687117048,9.77867068711705,2.8909509024121544e-11
633.91240125,5.7479345768606856e-11,11.313420965169444,11.313420965226923,11.313420965226923,7.05928223525752e-11
647.9039814,1.3538417530713918e-10,12.867915006751069,12.867915006886454,12.867915006886454,1.6868788942569155e-10
662.20448865,3.1099492149458904e-10,14.727649055061002,14.727649055371998,14.727649055371998,3.9465378832923165e-10
676.82058225,6.965422034311985e-10,16.96000177234337,16.960001773039913,16.960001773039917,9.043822924842244e-10
691.75919625,1.520773483938013e-9,19.625893548982607,19.62589355050338,19.62589355050338,2.030883020155889e-9
707.0275920500001,3.2351795619072184e-9,22.804231977720413,22.804231980955592,22.804231980955596,4.4710370038552806e-9
722.63310775,6.793527984157591e-9,25.8016997848565,25.801699791650027,25.80169979165003,9.65404136158776e-9
738.5828936500001,1.4089610432615835e-8,28.5567362871925,28.55673630128211,28.55673630128211,2.045330193534471e-8
754.88468175,2.917134828804306e-8,30.377151522168067,30.377151551339416,30.37715155133942,4.253554936261785e-8
771.54626305,6.00235494861364e-8,31.413546939174594,31.413546999198143,31.413546999198143,8.68659646270121e-8
788.5755008,1.2234534719660658e-7,31.776963505400165,31.776963627745513,31.776963627745506,1.7427107557081372e-7
805.9809286999999,2.453879080746809e-7,31.880249717250024,31.880249962637933,31.880249962637933,3.435997826276869e-7
