x_values,long_wave,short_wave,total,surface,planck
288.86748145,1.6582230359552253e-45,0.0,1.6582230359552253e-45,1.6582230359552256e-45,1.2325888465537275e-45
295.24331470000004,2.39848241262122e-44,0.0,2.39848241262122e-44,2.39848241262122e-44,1.8055180867618254e-44
301.75988375,3.267753481116014e-43,0.0,3.267753481116014e-43,3.2677534811160126e-43,2.489934969506792e-43
308.4202607,4.198886432173698e-42,0.0,4.198886432173698e-42,4.198886432173698e-42,3.236955430256384e-42
315.22765705,5.095054347421017e-41,0.0,5.095054347421017e-41,5.095054347421019e-41,3.971987222177625e-41
322.18527635000004,5.8453441470317e-40,0.0,5.8453441470317e-40,5.8453441470317e-40,4.6061338080484365e-40
329.2964738,6.348329797744367e-39,0.0,6.348329797744367e-39,6.348329797744364e-39,5.0542750259010004e-39
336.56463935,6.534260300794294e-38,0.0,6.534260300794294e-38,6.534260300794295e-38,5.254036765067739e-38
343.9932139,6.381617419075292e-37,0.0,6.381617419075292e-37,6.381617419075287e-37,5.180160975413504e-37
351.5857832,5.9203337843956746e-36,0.0,5.9203337843956746e-36,5.9203337843956746e-36,4.8496619199725686e-36
359.3459179,5.223047340701417e-35,0.0,5.223047340701417e-35,5.223047340701418e-35,4.31595595605034e-35
367.27734365,4.3866234265651585e-34,0.0,4.3866234265651585e-34,4.3866234265651585e-34,3.655260332778183e-34
375.38382105000005,3.51096388140958e-33,0.0,3.51096388140958e-33,3.51096388140958e-33,2.949157064917771e-33
383.66920945,2.680779231797657e-32,0.0,2.680779231797657e-32,2.680779231797656e-32,2.2691867540617704e-32
392.1374672,1.9546612955000975e-31,0.0,1.9546612955000975e-31,1.954661295500097e-31,1.6667920295325352e-31
400.79265825,1.3623589789332504e-30,0.0,1.3623589789332504e-30,1.3623589789332509e-30,1.1699559064503354e-30
409.6388663,9.085260477112262e-30,0.0,9.085260477112262e-30,9.085260477112262e-30,7.85518350472492e-30
418.6803654,5.802715056698154e-29,0.0,5.802715056698154e-29,5.802715056698154e-29,5.049681305611107e-29
427.92143964999997,3.552756519277276e-28,0.0,3.552756519277276e-28,3.552756519277277e-28,3.110982663408113e-28
437.3663882,2.0870454854603765e-27,0.0,2.0870454854603765e-27,2.0870454854603758e-27,1.8384321355924485e-27
447.0197879,1.1773973083882885e-26,0.0,1.1773973083882885e-26,1.1773973083882885e-26,1.0430642768398633e-26
456.8863358,6.384401092223108e-26,0.0,6.384401092223108e-26,6.384401092223108e-26,5.686919241941816e-26
466.97062435,3.3303028061989644e-25,0.0,3.3303028061989644e-25,3.3303028061989644e-25,2.9820213973920373e-25
477.27745730000004,1.672553313181135e-24,0.0,1.672553313181135e-24,1.6725533131811364e-24,1.5051433589333256e-24
487.81184460000003,8.093986617028358e-24,0.0,8.093986617028358e-24,8.093986617028358e-24,7.318845869120495e-24
498.57880300000005,3.7773512232764785e-23,0.0,3.7773512232764785e-23,3.777351223276479e-23,3.431263940432105e-23
509.58344095,1.7012962653100898e-22,0.0,1.7012962653100898e-22,1.701296415023802e-22,1.5522191313319008e-22
520.8308335999999,7.400625328788363e-22,0.0,7.400625328788363e-22,7.400626093139543e-22,6.780545576758905e-22
532.3264123,3.111585245574969e-21,0.0,3.111585245574969e-21,3.1115855264338174e-21,2.862342001154219e-21
544.0758635,1.265446468861465e-20,0.0,1.265446468861465e-20,1.2654466417663906e-20,1.1685717371024536e-20
556.0846971,4.981606279017513e-20,0.0,4.981606279017513e-20,4.98160678090326e-20,4.617156707410162e-20
568.3585126,1.8995217444427394e-19,0.0,1.8995217444427394e-19,1.899521964391357e-19,1.766770560219923e-19
580.9031436,7.020631384652995e-19,0.0,7.020631384652995e-19,7.020633509353317e-19,6.55197333969233e-19
593.72469935,2.5168817055351696e-18,0.0,2.5168817055351696e-18,2.5168820995079996e-18,2.3564078283368747e-18
606.8292049,8.757279626722815e-18,0.0,8.757279626722815e-18,8.757284485779423e-18,8.224300526985194e-18
620.2229768000001,2.9593910827354294e-17,0.0,2.9593910827354294e-17,2.959391378759109e-17,2.7874171699888285e-17
633.91240125,9.718813959381823e-17,0.0,9.718813959381823e-17,9.718816556011027e-17,9.179830361463574e-17
647.9039814,3.103678637791227e-16,0.0,3.103678637791227e-16,3.1036808286204505e-16,2.9394456540093857e-16
662.20448865,9.64400850091945e-16,0.0,9.64400850091945e-16,9.644031574699464e-16,9.157169271246793e-16
