x_values,long_wave,short_wave,total,surface,planck
288.86748145,6.368465095011942e-40,0.0,6.368465095011942e-40,6.368465095011941e-40,4.986996728808173e-40
295.24331470000004,6.98470030487027e-39,0.0,6.98470030487027e-39,6.98470030487027e-39,5.527618412725278e-39
301.75988375,7.25876039688888e-38,0.0,7.25876039688888e-38,7.258760396888883e-38,5.803022488130853e-38
308.4202607,7.156107713662478e-37,0.0,7.156107713662478e-37,7.156107713662479e-37,5.7768596192605646e-37
315.22765705,6.700259743183703e-36,0.0,6.700259743183703e-36,6.700259743183704e-36,5.459522837658834e-36
322.18527635000004,5.964499242875844e-35,0.0,5.964499242875844e-35,5.964499242875843e-35,4.903708690801884e-35
329.2964738,5.053743146878722e-34,0.0,5.053743146878722e-34,5.053743146878722e-34,4.19067752843961e-34
336.56463935,4.079957321471277e-33,0.0,4.079957321471277e-33,4.0799573214712774e-33,3.4111436068451934e-33
343.9932139,3.1416576557298575e-32,0.0,3.1416576557298575e-32,3.141657655729858e-32,2.6474370955308313e-32
351.5857832,2.309746647891378e-31,0.0,2.309746647891378e-31,2.3097466478913776e-31,1.9611607173885888e-31
359.3459179,1.6229375520713273e-30,0.0,1.6229375520713273e-30,1.6229375520713273e-30,1.3880147407000981e-30
367.27734365,1.0909240157958955e-29,0.0,1.0909240157958955e-29,1.0909240157958954e-29,9.395047882501508e-30
375.38382105000005,7.02181820642461e-29,0.0,7.02181820642461e-29,7.021818206424609e-29,6.087574719287821e-29
383.66920945,4.331913291430117e-28,0.0,4.331913291430117e-28,4.331913291430117e-28,3.7795414329547194e-28
392.1374672,2.563750965530871e-27,0.0,2.563750965530871e-27,2.563750965530871e-27,2.2505308834088306e-27
400.79265825,1.456900975411679e-26,0.0,1.456900975411679e-26,1.4569009754116786e-26,1.2864005968343755e-26
409.6388663,7.956365411151248e-26,0.0,7.956365411151248e-26,7.956365411151248e-26,7.064682595047364e-26
418.6803654,4.179386964344719e-25,0.0,4.179386964344719e-25,4.179386964344718e-25,3.7309044105869502e-25
