x_values,long_wave,short_wave,total,surface,planck
285.9097772,6.477145155729909e-58,0.0,6.477145155729909e-58,6.477145155729909e-58,6.3667351814948494e-58
286.30084505,7.979514050575696e-58,0.0,7.979514050575696e-58,7.979514050575696e-58,7.843298274947892e-58
286.69240885000005,9.826812102296747e-58,0.0,9.826812102296747e-58,9.826812102296747e-58,9.659261153261961e-58
287.0845095,1.2097482061065747e-57,0.0,1.2097482061065747e-57,1.2097482061065747e-57,1.1892189080115727e-57
287.47718825000004,1.4888104294474178e-57,0.0,1.4888104294474178e-57,1.4888104294474178e-57,1.4637330868219424e-57
287.870404,1.8319920451476872e-57,0.0,1.8319920451476872e-57,1.8319920451476872e-57,1.8010869752138678e-57
288.26415685,2.2532710919629763e-57,0.0,2.2532710919629763e-57,2.2532710919629763e-57,2.215543196684611e-57
288.65844665,2.7710434686838777e-57,0.0,2.7710434686838777e-57,2.7710434686838777e-57,2.7245731505011364e-57
289.05327355000003,3.406160388506987e-57,0.0,3.406160388506987e-57,3.406160388506987e-57,3.3495732585503437e-57
289.4486374,4.1866619734429657e-57,0.0,4.1866619734429657e-57,4.1866619734429657e-57,4.116737949731125e-57
289.84453825,5.143059130998415e-57,0.0,5.143059130998415e-57,5.143059130998415e-57,5.0581269201462115e-57
290.24097595000006,6.317861920805459e-57,0.0,6.317861920805459e-57,6.317861920805459e-57,6.212965746809214e-57
290.6379506,7.756560648638843e-57,0.0,7.756560648638843e-57,7.756560648638843e-57,7.629234611128324e-57
291.03546205,9.522777879594317e-57,0.0,9.522777879594317e-57,9.522777879594317e-57,9.365602868511869e-57
291.43351035,1.168573887194779e-56,0.0,1.168573887194779e-56,1.168573887194779e-56,1.1493790904916765e-56
291.832138,1.4335415477102915e-56,0.0,1.4335415477102915e-56,1.4335415477102915e-56,1.4101753085066539e-56
292.23130245,1.758351303335527e-56,0.0,1.758351303335527e-56,1.758351303335527e-56,1.7296398452535418e-56
292.63100375,2.155716287145901e-56,0.0,2.155716287145901e-56,2.155716287145901e-56,2.1208553598235725e-56
293.0312418,2.642691746055422e-56,0.0,2.642691746055422e-56,2.642691746055422e-56,2.5997956694204998e-56
293.43205965,3.2384425673732888e-56,0.0,3.2384425673732888e-56,3.2384425673732888e-56,3.1860286185374634e-56
293.83341409999997,3.9674502509505837e-56,0.0,3.9674502509505837e-56,3.9674502509505837e-56,3.9033086061223016e-56
294.2353055,4.858846536069794e-56,0.0,4.858846536069794e-56,4.858846536069794e-56,4.780672241518235e-56
294.6377768,5.948609529356356e-56,0.0,5.948609529356356e-56,5.948609529356356e-56,5.853657583713016e-56
295.04074125,7.280850413083627e-56,0.0,7.280850413083627e-56,7.280850413083627e-56,7.165211232351254e-56
295.44428584999997,8.909341191735647e-56,0.0,8.909341191735647e-56,8.909341191735647e-56,8.768251714195617e-56
295.84841059999997,1.090067555447677e-55,0.0,1.090067555447677e-55,1.090067555447677e-55,1.0727025187493706e-55
296.253072,1.332935504357901e-55,0.0,1.332935504357901e-55,1.332935504357901e-55,1.3119534976786275e-55
296.65826984999995,1.6299075466479918e-55,0.0,1.6299075466479918e-55,1.6299075466479918e-55,1.604096255401497e-55
297.06400405,1.9918852239708967e-55,0.0,1.9918852239708967e-55,1.9918852239708967e-55,1.9607185859051302e-55
297.47031864999997,2.434023585689108e-55,0.0,2.434023585689108e-55,2.434023585689108e-55,2.39597580271729e-55
297.8772139,2.973740230988222e-55,0.0,2.973740230988222e-55,2.973740230988222e-55,2.9270620269345763e-55
298.28464544999997,3.6311273047849464e-55,0.0,3.6311273047849464e-55,3.6311273047849464e-55,3.574820859319881e-55
298.69261320000004,4.433836164581992e-55,0.0,4.433836164581992e-55,4.433836164581992e-55,4.364650990978416e-55
299.10116164999994,5.4109502025817675e-55,0.0,5.4109502025817675e-55,5.4109502025817675e-55,5.3275446997323916e-55
299.51024614999994,6.603389869811812e-55,0.0,6.603389869811812e-55,6.603389869811812e-55,6.5009611017020055e-55
299.91991160000003,8.055267349928062e-55,0.0,8.055267349928062e-55,8.055267349928062e-55,7.93067975108518e-55
300.33015789999996,9.814454542826544e-55,0.013660237819799368,0.013660237819799368,0.013660237819799368,9.672207087898742e-55
300.74094025,1.1955464707196093e-54,0.016531333932094622,0.016531333932094622,0.016531333932094622,1.1792711732112547e-54
301.1522583,1.4554875927791595e-54,0.027995546259933175,0.027995546259933175,0.027995546259933175,1.4373901952062875e-54
301.56415745000004,1.7717160304830817e-54,0.0754786412680367,0.0754786412680367,0.0754786412680367,1.751531989239649e-54
301.9766376,2.156294879260576e-54,0.11889960011744899,0.11889960011744899,0.11889960011744899,2.1337514144274742e-54
302.3896534,2.622961810429891e-54,0.060246981716139,0.060246981716139,0.060246981716139,2.5986184256499957e-54
302.8032504,3.1905762071372343e-54,0.015988318158926165,0.015988318158926165,0.015988318158926165,3.163906236216237e-54
303.21742865,3.879242537083132e-54,0.011248859217470675,0.011248859217470675,0.011248859217470675,3.851120284433599e-54
303.63218835,4.7148435693917656e-54,0.10737514181999099,0.10737514181999099,0.10737514181999099,4.686331117537715e-54
304.04748335,5.730038781245429e-54,0.2957423270443561,0.2957423270443561,0.2957423270443561,5.701009986377086e-54
304.46331345000004,6.9601176296441e-54,0.09505233992000922,0.09505233992000922,0.09505233992000922,6.93335753337092e-54
304.87977140000004,8.453347614127445e-54,0.2510116097922057,0.2510116097922057,0.2510116097922057,8.429994560832569e-54
305.29681085000004,1.0266952897955766e-53,0.20115142781794526,0.20115142781794526,0.20115142781794526,1.0246921159454112e-53
305.7143853,1.2464612249618013e-53,0.0718825988951491,0.0718825988951491,0.0718825988951491,1.24518095951569e-53
306.13249435,1.5131721383586711e-53,0.170148273072268,0.170148273072268,0.170148273072268,1.5126710972188871e-53
306.55118490000007,1.836018993151089e-53,0.11614970609151075,0.11614970609151075,0.11614970609151075,1.8371263064161712e-53
306.970504,2.227442452173423e-53,0.18890274605595395,0.18890274605595395,0.18890274605595395,2.2306191526104834e-53
307.3903576,2.701827594384968e-53,0.22326947790749693,0.22326947790749693,0.22326947790749693,2.707602010456622e-53
